奉恩將軍西清額,旭英第七子。乾隆四十九年，封奉恩將軍。嘉慶五年，卒。
鎮國將軍德文,洞福第二子。乾隆五十五年，封二等奉國將軍。五十七年，襲鎮國將軍。道光六年，卒。
一等鎮國將軍蘇藩,德文第一子。嘉慶十七年，封一等奉國將軍。道光六年，襲一等鎮國將軍。十六年，卒。
鎮國將軍承瑞,蘇芳第五子。蘇藩嗣子。道光十六年，襲鎮國將軍。同治六年，卒。
鎮國將軍岳康,承澤子，承瑞嗣子。同治七年，襲鎮國將軍。光緒二十四年，卒。
鎮國將軍恩厚,斌昌第二子，岳康嗣子。光緒二十一年，襲鎮國將軍。
三等輔國將軍蘇敏,德文第二子。嘉慶二十一年，封三等輔國將軍。道光三年，卒。無嗣。
三等輔國將軍蘇芳,德文第三子。道光元年，封三等輔國將軍。咸豐元年，卒。
三等奉國將軍成藩,蘇芳第一子。道光四年，襲三等奉國將軍。咸豐九年，卒。
奉恩將軍斌昌,成藩第二子。咸豐九年，襲奉恩將軍。光緒十年，卒。
奉恩將軍恩榮,斌昌第一子。光緒十年，襲奉恩將軍。
三等輔國將軍蘇哲,德文第四子。道光九年，封三等輔國將軍。同治元年，緣事革退。
二等奉國將軍德恭泰,洞福第三子。乾隆六十年，封二等奉國將軍。嘉慶二十五年，卒。
奉恩將軍達英,德恭泰第二子。道光元年，襲奉恩將軍。二十三年，卒。無嗣。
鎮國公噶爾賽,瓦克達第三子。順治十年，封三等奉國將軍。康熙六年，襲鎮國公。八年，緣事降奉國將軍品級。二十一年，復封鎮國公。二十五年，以罪革爵。
輔國公海清,噶爾賽第一子。康熙二十一年，封輔國公。二十五年，以父罪革退。
輔國公瑪占,代善第六子。壬子年七月十三日辰時生，母側福晉哈達納喇氏，孟格布祿貝勒之女。崇德元年，以功封輔國公。三年戊寅十一月二十五日辰時，卒。無嗣。嫡妻納喇氏，都統蘇耐之女。
巽簡親王滿達海,代善第七子。天命七年壬戌三月二十日戌時生，母三繼福晉葉赫納喇氏，阿納布貝勒之女。崇德六年，以功封輔國公。順治二年，晉貝子。六年，襲親王。八年，賜號曰巽。九年壬辰二月初六日巳時，薨。諡曰簡。十六年，緣事追奪諡法及碑文。嫡福晉博爾濟吉特氏，巴拜之女；繼福晉伊爾根覺羅氏，都統阿爾進之女；側福晉奇特氏，公布顏圖之女；庶福晉舒舒黨羅氏，安堵祜之女，妾吳氏，吳大之女。二子：長子多羅懷憨貝勒常阿岱，次子楞塞宜。
懷愍貝勒常阿岱,滿達海第一子。順治九年，襲親王。十六年，以父罪降貝勒。康熙四年，卒。諡曰懷愍。
奉恩將軍錫楞圖,常阿岱第二子。康熙十五年，封奉恩將軍。二十八年，緣事革退。雍正八年，卒。
奉恩將軍英俊,錫楞圖第三子。雍正八年，襲奉恩將軍。乾隆八年，卒。無嗣。
奉恩將軍英永,錫楞圖第二子。乾隆八年，襲奉恩將軍。三十九年，卒。無嗣。
奉恩將軍世憲,常阿岱第三子。康熙十五年，封奉恩將軍。五十八年，卒。
奉恩將軍成文,世憲第三子。康熙五十八年，襲奉恩將軍。雍正十三年，緣事革退。
奉恩將軍積善,成文第二子。乾隆元年，襲奉恩將軍。十八年，緣事革退。
奉國將軍廣昌,常阿岱第四子。康熙十七年，封奉國將軍。三十六年，卒。
奉恩將軍申德,廣昌第二子。康熙三十七年，襲奉恩將軍。雍正三年，卒。
奉恩將軍巴爾薩,申德第二子。雍正四年，襲奉恩將軍。乾隆二十二年，因病告退。
奉恩將軍普正,巴爾薩第一子。乾隆二十三年，襲奉恩將軍。二十四年，緣事革退。
奉恩將軍素清阿,普正第二子。乾隆二十四年，襲奉恩將軍。嘉慶二年，卒。
奉恩將軍達三布,素清阿第一子。嘉慶三年，襲奉恩將軍。七年，卒。
奉恩將軍德春,達三布第一子。嘉慶七年，襲奉恩將軍。道光十一年，卒。
奉恩將軍安祿,德春第二子。道光十一年，襲奉恩將軍。同治五年，卒。襲次巳盡，不襲。
奉恩將軍希常,常阿岱第五子。康熙十七年，封奉恩將軍。五十二年，緣事革退。
輔國公星尼,常阿岱第六子。康熙四年，襲貝子。二十七年，緣事革退。五十二年，復降襲輔國公。
鎮國公星海,星尼第一子。康熙二十七年，襲鎮國公。五十二年，緣事革退。
常平,星海子。,
一等輔國將軍福色鏗額,常平子。乾隆五十三年，封一等輔國將軍。道光元年，卒。
三等奉國將軍明嵩,福色鏗額第一子。乾隆五十五年，封三等奉國將軍。嘉慶十八年，卒。
輔國將軍明憲,福色鏗額第三子。道光元年，襲輔國將軍。十三年，卒。
輔國將軍祿智,明憲第二子。道光十四年，襲輔國將軍。同治元年，緣事革退。
輔國將軍祿紳,明憲堂姪，明益子。同治元年，襲輔國將軍。光緒二十一年，卒。
一等輔國將軍鐵山,祿紳第三子。光緒二十一年，襲一等輔國將軍。
奉恩將軍都隆額,星尼第七子。雍正八年，封奉恩將軍。乾隆十五年，緣事革退。
惠順親王祜塞,代善第八子。天聰二年戊辰正月二十八日申時生，母三繼福晉葉赫納喇氏，阿納布貝勒之女。順治二年，封鎮國公。三年丙戌二月初六日辰時，卒。十年，追封郡王，諡曰惠順。康熙元年，追封親王。嫡福晉科爾沁博爾濟吉特氏，桑阿爾塞台吉之女；媵妾他塔喇氏，淮塔庫之女。三子：長子阿林，次子多羅懷憨郡王精濟，三子和碩康良親王傑書。
懷愍郡王精濟,祜塞第二子。順治三年，襲鎮國公。尋晉郡王。六年，薨。諡曰懷愍。
康良親王傑書,祜塞第三子。順治二年乙酉十二月初四日子時生，母嫡福晉科爾沁博爾濟吉特氏，桑阿爾塞台吉之女，順治六年十月，襲郡王，賜號曰康。十六年十二月，襲巽親王，改號曰康。康熙三十六年三十六年丁丑閏三月初十日丑時，薨。諡曰良。嫡福晉科爾沁博爾濟吉特氏，額森台吉之女，繼福晉董鄂氏，馬塞之女，庶福晉薩克達氏，華塞之女（乾隆三年七月奏准追封側福晉），庶福晉舒穆祿氏，西穆布祿之女，庶福晉納喇氏，西哈納之女，庶福晉李氏，李崇第之女，庶福晉赫舍里氏，納爾泰之女，庶福晉王佳氏，查爾護之女，庶福晉李佳氏，費揚古之女，庶福晉赫舍里氏，赫塞之女，庶福晉納喇氏，納岱之女，庶福晉紐鈷祿氏，齊穆布之女，庶福晉蘇氏，蘇嘉新之女，庶福晉相氏，相松之女，妾劉氏，劉四之女，妾楊氏，楊四之女；五子: 長子已革輔國將軍尼塔哈，次子燕泰，三子輔國將軍扎爾圖，四子和碩康簡親王巴爾圖，五子和碩康悼親王椿泰。八女郡主，諱淑慎，生於康熙二十年十月二十一日，康熙四十五年十一月十五日卒，年二十六歲。嫁明珠之子葉赫那拉氏揆方，婿於康熙四十七年正月十四日，婿年二十九歲。
三等輔國將軍呢他哈,傑書第一子。康熙二十年，封三等輔國將軍。五十一年，緣事革退。
三等輔國將軍扎爾圖,傑書第三子。康熙三十二年，封三等輔國將軍。五十四年，緣事革退。雍正二年，卒。
奉國將軍尚德,扎爾圖第三子。雍正三年，襲奉國將軍。乾隆十七年，卒。
奉恩將軍德明,尚德第三子。乾隆十七年，襲奉恩將軍。五十六年，卒。
奉恩將軍富雲,德明第二子。乾隆五十六年，襲奉恩將軍。道光十七年，卒。
奉恩將軍阿昌阿,富雲第二子。道光十七年，襲奉恩將軍。光緒十一年，卒。
奉恩將軍春元,阿昌阿第一子。光緒十二年，襲奉恩將軍。
康簡親王巴爾圖,傑書第四子。康熙三十二年，封三等輔國將軍。雍正十二年，襲康親王。乾隆十八年，薨。諡曰簡。奉國將軍謨章,巴爾圖第一子。雍正十年，封奉國將軍。乾隆二十七年，卒。
奉恩將軍善存,謨章第四子。乾隆二十八年，襲奉恩將軍。三十八年，卒。無嗣。
奉國將軍謨本,巴爾圖第四子。雍正十三年，封奉國將軍。乾隆二十四年，卒。奉恩將軍善廣,謨本第一子。乾隆二十四年，襲奉恩將軍。五十二年，卒。無嗣。
三等鎮國將軍謨雲,巴爾圖第八子。乾隆七年，封三等鎮國將軍。二十九年，卒。
三等輔國將軍崇敬,謨雲第五子。乾隆二十九年，襲三等輔國將軍。嘉慶六年，卒。
三等奉國將軍哲豐,崇敬第一子。嘉慶七年，襲三等奉國將軍。道光九年，卒。
奉恩將軍魁舒,哲豐第一子。道光四年，封奉恩將軍。十四年，卒。無嗣。
奉恩將軍魁樂,哲豐第二子。道光十一年，封奉恩將軍。十六年，緣事革退。
一等奉國將軍崇林,謨雲第六子。乾隆四十年，封一等奉國將軍。嘉慶八年，卒。無嗣。
輔國將軍崇英,謨雲第七子。乾隆四十年，封輔國將軍。五十八年，卒。奉國將軍哲麟,崇英第二子。乾隆五十八年，襲奉國將軍。嘉慶二十五年，卒。
奉恩將軍奎璧,哲麟第一子。嘉慶二十二年，封奉恩將軍。道光十八年，卒。無嗣。
奉恩將軍奎福,哲麟第二子。道光元年，封奉恩將軍。九年，卒。無嗣。
奉恩將軍奎華,哲麟第三子。道光六年，封奉恩將軍。二十七年，卒。
奉恩將軍玉清,奎華第一子。道光二十八年，襲奉恩將軍。光緒七年，卒。
奉恩將軍祺昌,玉清第三子。光緒七年，襲奉恩將軍。二十二年，卒。襲次巳盡，不襲。
奉恩將軍玉估,奎安第一子。道光二十九年，襲奉恩將軍。同治五年，卒。
奉恩將軍奎定,哲麟第五子。道光十三年，封奉恩將軍。咸豐五年，卒。
奉恩將軍玉剛,奎定第一子。咸豐六年，襲奉恩將軍。同治十三年，卒。
奉恩將軍祥厚,玉剛第一子。同治十三年，襲奉恩將軍。
奉恩將軍奎文,哲麟第六子。道光十八年，封奉恩將軍。咸豐二年，緣事革退。
二等奉國將軍謨恭,巴爾圖第十三子。乾隆二十一年，封二等奉國將軍。四十二年，卒。
奉恩將軍善儀,謨恭第一子。乾隆四十二年，襲奉恩將軍。嘉慶十五年，卒。
奉恩將軍富爾闡,善儀第一子。嘉慶十五年，襲奉恩將軍。道光十年，卒。無嗣。
三等奉國將軍謨經,巴爾圖第十四子。乾隆二十二年，封三等奉國將軍。三十五年，卒。無嗣。
二等輔國將軍謨典,巴爾圖第十五子。乾隆二十一年，封二等輔國將軍。二十四年，緣事革退。
一等輔國將軍謨廣,巴爾圖第十七子。乾隆二十二年，封一等輔國將軍。三十年，卒。
一等奉國將軍善永,謨廣子。乾隆三十一年，襲一等奉國將軍。五十六年，卒。無嗣。
二等輔國將軍謨顯,巴爾圖第二十子。乾隆二十二年，封二等輔國將軍。五十三年，卒。無嗣。
三等鎮國將軍謨亮,巴爾圖第二十三子。乾隆二十六年，封三等鎮國將軍。六十年，卒。
三等輔國將軍良鳳,謨亮第二子。嘉慶元年，襲三等輔國將軍。道光六年，卒。奉國將軍福年,良鳳第一子。道光元年，封奉國將軍。同治四年，卒。
奉恩將軍崑山,福年第二子。咸豐六年，封奉恩將軍。同治八年，卒。
奉恩將軍鍾沛,崑山第一子。同治八年，襲奉恩將軍。十三年，卒。
奉國將軍福彰,良鳳第二子。道光四年，封奉國將軍。十三年，卒。無嗣。
康悼親王椿泰,傑書第五子。康熙三十六年，襲康親王。四十八年，薨。諡曰悼。
康修親正崇安,椿泰子。康熙四十八年，襲康親正。雍正十一年，薨。諡曰修。
禮恭親王永恩,崇安第二子。雍正十二年，封貝勒。乾隆十八年，襲康親王。四十三年，以代善茂著壯猷，仍復原號為禮親王。嘉慶十年，薨。諡曰恭。
禮親王昭槤,永恩子。嘉慶七年，封不入八分輔國公。十年，襲禮親王。二十一年，緣事革爵。
禮親王永諲,崇安第三子。乾隆十四年，封二等鎮國將軍。五十五年，卒。嘉慶二十一年，追封禮親王。
禮安親王麟趾,永諲第一子。乾隆五十四年，封二等輔國將軍。嘉慶二十二年，襲禮親王。道光元年，薨。諡曰安。
禮親王錫春,麟趾子。嘉慶十四年，封奉恩將軍。二十四年，卒。道光四年，追封禮親王。
禮和親王全齡,錫春子。嘉慶二十五年，襲奉恩將軍。道光元年，襲禮親王。三十年，薨。諡曰和。
禮恪親王世鐸,全齡第三子。道光三十年，襲禮親王。遜位後三年，薨，年六十八，諡曰恪。
禮親王誠厚,世鐸子。光緒十年，封不入八分輔國公。1913年襲。薨，年五十三，諡曰敦。
鎮國勤敏公阿拜,太祖第三子。明萬曆十三年乙酉八月十五日丑時生，庶妃兆佳氏出。初授備御，天聰八年四月，授三等副將，崇德三年七月，任吏部承政。崇德四年，封三等鎮國將軍。順治四年，晉二等。五年戊子二月二十一日巳刻，卒。十年，追封鎮國公，諡曰勤敏。嫡妻他塔喇氏，佐領托布之女；繼妻佟佳氏，尚書蒙阿圖之女；妾哈達納喇氏，福祿之女。子七人。 第一子鎮國將軍席特庫， 第二子鈕望鑒{甲寅年正月十六日酉時生，母嫡妻他塔喇氏，佐領托布之女；戊辰年三月十七日申時卒，年十五歲，無子女。}，第三子奉恩將軍費雅三， 第四子奉恩輔國介直公幹圖， 第五子輔國懷義將軍范圖，第六子奉恩輔國公鞏安，第七子奉恩輔國公灝善，
鎮國將軍席特庫,阿拜第一子。壬子年八月初三日卯時生，母嫡妻他塔喇氏，佐領托布之女；初封奉國將軍。崇德六年，緣事革退。順治二年，封鎮國將軍。六年，晉鎮國公。七年，緣事降鎮國將軍。康熙十六年丁已七月十三日酉時，卒。嫡妻伊爾根覺羅氏，枯錫他之女；繼妻伊爾根覺羅氏，男永順之女；三娶妻納喇氏，蘇巴錫泰之女。六子：長子星英，次子奉恩將軍能額理，三子奉恩輔國公英額里，四子奉恩輔國公英格宜，五子能格宜，六子顏圖。
奉恩將軍能額里,席特庫第二子。順治六年，封奉恩將軍。康熙十二年，卒。無嗣。
輔國公英額里,席特庫第三子。順治六年，封三等輔國將軍。八年，晉輔國公。康熙二十一年，卒。
三等奉國將軍務爾登,英額里第二子。康熙二十二年，襲三等奉國將軍。五十五年，緣事革退。
奉恩將軍啟昭,務爾登第三子。康熙五十五年，襲奉恩將軍。乾隆二十六年，卒。
奉恩將軍鵬志,啟昭第三子。乾隆二十六年，襲奉恩將軍。三十九年，卒。
奉恩將軍獻福,鵬志第一子。乾隆三十九年，襲奉恩將軍。嘉慶八年，緣事革退。
三等奉國將軍務爾德宜,英額里第四子。康熙二十六年，封三等奉國將軍。五十九年，卒。
奉恩將軍揚安,務爾德宜第三子。康熙五十九年，襲奉恩將軍。雍正十三年，因病告退。
奉恩將軍六十八。務爾德宜第六子。雍正十三年，襲奉恩將軍。乾隆三十四年，卒。
奉恩將軍俊福六十八第一子。乾隆三十四年，襲奉恩將軍。道光十三年，卒。
奉恩將軍忠秀,俊福第一子。道光十三年，襲奉恩將軍。同治六年，卒。無嗣。
輔國公英格宜,席特庫第四子。順治六年，封三等輔國將軍。八年，晉輔國公。康熙二十四年，卒。
三等奉國將軍業爾圖,英格宜第一子。康熙六年，封三等奉國將軍。三十七年，因病告退。
奉恩將軍新岱,業爾圖第二子。康熙五十三年，襲奉恩將軍。乾隆十三年，卒。
奉恩將軍富勒森,新岱第一子。乾隆三年，封奉恩將軍。三十一年，卒。
奉恩將軍蘇隆阿,富勒森第二子。乾隆三十一年，襲奉恩將軍。三十八年，緣事革退。
奉恩將軍費雅三,阿拜第三子。天命六年辛酉二月初三日戌時生，母嫡妻他塔喇氏，佐領托布之女；順治二年，封奉恩將軍。三年丙戌九月十四日寅時，卒。無嗣。嫡妻佟佳氏，布蘇之女。二子：長子貴雅達，次子愛達。
輔國介直公幹圖,阿拜第四子。天命九年五月二十一日戌時生，母嫡妻他塔喇氏，佐領托布之女；崇德六年，封三等奉國將軍。順治六年，晉三等鎮國將軍。八年，晉輔國公。十六年己亥十月十四日戌時，卒。諡曰介直。嫡妻鈕祜祿氏，尚書車爾格之女；妾王氏，王恩之女；妾王氏，王佑明之女。一子：綽克托。
輔國懷儀將軍範圖,阿拜第五子。天聰元年丁卯正月十七日丑時生，母繼妻佟佳氏，尚書蒙阿圖之女；順治二年，封奉恩將軍。五年，卒。十年，追封輔國將軍，諡曰懷儀。嫡妻佟佳氏，輕車都尉翁克宜之女。二子：長子奉國將軍法喀，次子已革輔國將軍法復禮。
一等奉國將軍法喀,範圖第一子。順治九年，封三等輔國將軍。十七年，緣事降一等奉國將軍。康熙四十七年，卒。
三等輔國將軍法復禮,範圖第二子。順治九年，封三等輔國將軍。康熙三十四年，因病告退。
三等奉國將軍塞德宜,法復禮第二子。康熙十四年，封三等奉國將軍。五十五年，卒。
奉恩將軍色本臣，塞德宜第五子。康熙五十五年，襲奉恩將軍。六十一年，卒。無嗣。
輔國公鞏安,阿拜第六子。天聰三年己巳八月二十三日丑時生，母繼妻佟佳氏，尚書蒙阿圖之女；順治三年，封奉恩將軍。五年，襲三等鎮國將軍。六年，晉輔國公。康熙二十一年壬戌五月二十五日酉時，卒。嫡妻奇祿氏，齊默克之女；繼妻納喇氏，護軍參領炳圖之女。三子：長子通安，次子已革輔國將軍圖薩，三子輔國將軍巴哈穆。
三等輔國將軍圖薩,鞏安第二子。康熙七年，封三等輔國將軍。三十四年，因病告退。
三等奉國將軍塞爾都,圖薩第一子。康熙二十六年，封三等奉國將軍。五十五年，卒。
奉恩將軍格爾斐音，塞爾都第五子。康熙五十五年，襲奉恩將軍。雍正元年，卒。
奉恩將軍格爾賓，塞爾都第六子。雍正三年，封奉恩將軍。乾隆十一年，卒。
奉恩將軍瑤章，格爾賓第一子。乾隆十一年，襲奉恩將軍。三十五年，卒。
奉恩將軍承宗，格爾賓第五子。乾隆三十六年，襲奉恩將軍。嘉慶六年，卒。
奉恩將軍慶瑤，承宗第一子。嘉慶七年，襲奉恩將軍。二十二年，因罪革爵，黜宗室。
奉恩將軍托爾渾，塞爾都第七子。雍正三年，封奉恩將軍。乾隆五年，卒。
三等輔國將軍巴哈穆，鞏安第三子。康熙九年，封三等輔國將軍。五十六年，卒。
三等奉國將軍務鼐，巴哈穆第三子。康熙五十六年，襲三等奉國將軍。雍正元年，卒。
奉恩將軍德爾弼，巴哈穆第六子。乾隆五年，襲奉恩將軍。十六年，卒。
奉恩將軍珠靈阿，德爾弼第四子。乾隆十七年，襲奉恩將軍。嘉慶十年，卒。
奉恩將軍景祿，珠靈阿第二子。嘉慶十年，襲奉恩將軍。道光八年，卒。
奉恩將軍定桂，景祿第二子。道光八年，襲奉恩將軍。十三年，卒。
奉恩將軍玉柱，景祿第三子。道光十四年，襲奉恩將軍。同治十二年，卒。
奉恩將軍承謙，玉柱第一子。同治十二年，襲奉恩將軍。光緒元年，卒。無嗣。
奉恩將軍玉岑，景祿子。光緒元年，襲鞏安一支之奉恩將軍。二十四年，卒。
奉恩將軍承卓，玉岑第一子。光緒二十四年，襲奉恩將軍。宣統元年，卒。
奉恩將軍文緒，承卓子。宣統二年，襲奉恩將軍。
輔國公灝善，阿拜第七子。天聰八年甲戌六月十六日戌時生，母繼妻佟佳氏，尚書蒙阿圖之女；順治六年，封三等鎮國將軍。八年，晉輔國公。康熙四十五年丙戌五月初四日戌時，卒。嫡妻瓜爾佳氏，布顏之女；妾張氏，張齊之女；七子：長子已革鎮國將軍佛格，次子宗學總管、奉恩將軍保格，三子宗學總管、輔國將軍善福，四子告退輔國將軍尚祿，五子輔國將軍瑪錫禮，六子尚新保，七子告退輔國將軍薩穆當。第八子德敏是瑪錫禮大哥已革鎮國將軍多格第五子過繼為後。
鎮國將軍佛格，灝善第一子。康熙九年，封三等輔國將軍。三十四年，緣事革退。雍正二年，封鎮國將軍。尋緣事革退。十年，卒。
三等奉國將軍瑚連，佛格第一子。康熙二十六年，封三等奉國將軍。雍正二年，緣事革退。
奉恩將軍保格，灝善第二子。雍正二年，封奉恩將軍。十二年，卒。
三等輔國將軍善福，灝善第三子。康熙十五年，封三等輔國將軍。雍正十二年，卒。奉國將軍珠隆，善福第六子。雍正十二年，襲奉國將軍。乾隆二十五年，因病告退。
奉恩將軍普順，德敏第六子，珠隆嗣子。乾隆二十六年，襲奉恩將軍。嘉慶十五年，卒。
三等輔國將軍尚祿，灝善第四子。康熙十七年，封三等輔國將軍。三十四年，因病革退。乾隆八年，卒。
三等奉國將軍德敏，佛格子，瑪錫禮嗣子。康熙五十八年六月生，同年十二月過繼瑪錫禮為後，乾隆六年，襲三等奉國將軍。五年二月授三等侍衛，九年八月因病告退三等侍衛，十四年六月，緣事革退。嘉慶十四年正月卒，
奉恩將軍順昌，德敏第二子。乾隆十八年，襲奉恩將軍。嘉慶五年，卒。
奉恩將軍保秀，順昌第四子。嘉慶五年，襲奉恩將軍。十一年，卒。
奉恩將軍順勇，德敏第三子。嘉慶十一年，襲奉恩將軍。十九年，因病告退。
奉恩將軍保倫，順勇第一子。嘉慶十九年，襲奉恩將軍。道光十年，卒。
海鸞，保倫子。
奉恩將軍定榮，海鸞子。道光十年，襲奉恩將軍。光緒元年，休致。
奉恩將軍祥增，定榮第一子。光緒元年，襲奉恩將軍。民國七年去世。
三等輔國將軍薩穆當，灝善第七子。康熙二十年，封三等輔國將軍。雍正十二年，因病告退。乾隆九年，卒。
三等奉國將軍西林，薩穆當第三子。雍正三年，封三等奉國將軍。乾隆四十六年，因病革退。
奉恩將軍富察，西林第一子。乾隆八年，封奉恩將軍。五十六年，卒。
奉恩將軍慶雲，富察第二子。乾隆五十六年，襲奉恩將軍。嘉慶七年，卒。
奉恩將軍特祥，慶雲第一子。嘉慶七年，襲奉恩將軍。道光三十年，卒。無嗣。
奉恩將軍富瑞，西林第五子。乾隆二十二年，封奉恩將軍。五十九年，因病告退。
奉恩將軍祥敬，富瑞第一子。乾隆五十九年，襲奉恩將軍。道光二年，卒。
奉恩將軍蘇勒保，祥敬第一子。道光二年，襲奉恩將軍。十一年，緣事革退。
三等奉國將軍伯祥，薩穆當第五子。雍正三年，封三等奉國將軍。乾隆四年，因病告退。
奉恩將軍廣寬，伯祥第一子。乾隆十年，封奉恩將軍。二十二年，卒。
奉恩將軍寬誠，廣寬第三子。乾隆二十八年，襲奉恩將軍。四十五年，卒。
奉恩將軍武爾袞，寬誠第一子。乾隆四十五年，襲奉恩將軍。道光二十年，卒。無嗣。
奉恩將軍祥柱，伯祥第二子。乾隆十二年，封奉恩將軍。四十六年，卒。
奉恩將軍明慶，祥柱第三子。乾隆四十六年，襲奉恩將軍。嘉慶十年，卒。
奉恩將軍吉陞，明慶第二子。嘉慶十三年，襲奉恩將軍。咸豐十年，卒。無嗣。
奉恩將軍廣普，伯祥第三子。乾隆十四年，封奉恩將軍。四十六年，卒。
奉恩將軍雙敬，廣普第二子。乾隆四十七年，襲奉恩將軍。嘉慶十四年，卒。
奉恩將軍德克進，雙敬第二子。嘉慶十五年，襲奉恩將軍。道光七年，卒。無嗣。
奉恩將軍忠順，薩穆當第八子。雍正十三年，封奉恩將軍。乾隆三十一年，因病告退。
奉恩將軍伊克積善，忠順第一子。乾隆三十一年，襲奉恩將軍。三十二年，卒。
奉恩將軍和克積善，忠順第二子。乾隆三十二年，襲奉恩將軍。嘉慶十六年，緣事革退。
第二子鎮國恪恭將軍穆爾察，
三等輔國將軍聶克塞，湯古代第一子。辛丑年十月初五卯時生，母嫡妻富察氏，葉克巴晏之女；崇德五年，襲三等奉國將軍。順治二年，以功封二等奉國將軍。四年，晉一等。六年，晉鎮國公。九年，緣事降輔國公。尋又降三等輔國將軍。康熙五年丙午正月二十一辰時，卒。無嗣。嫡妻納喇氏，參領巴喜納喇之女；繼妻納喇氏，侍郎庫達里之女。一子：額滕。
二等鎮國恪恭將軍穆爾察，湯古代第二子。辛亥年八月初八日未時生，母繼妻瓜爾佳氏，尹達祜齊之女；封三等奉國將軍。崇德五年，襲三等鎮國將軍。順治四年，晉二等。六年己丑七月初三日丑時，卒。諡曰恪恭。嫡妻董鄂氏，扎爾岱之女。
貝勒莽古爾泰，太祖第五子。明萬曆十五年丁亥生，繼妃富察氏出。天命元年，封貝勒。天聰六年壬申十二月初二日，卒。以謀為大逆奪爵，子孫降為紅帶子。嫡妻納喇氏，納穆都里氏之女；繼妻哈達納喇氏，貝勒孟格布祿之女；三娶妻姓氏、父名未詳；妾一人，姓氏、父名未詳。 
第一子邁達禮{癸卯年五月初七日辰時生，母繼妻哈達納喇氏，貝勒孟格布祿之女；天聰八年甲戌正月卒，年三十二歲。嫡妻鈕祜祿氏，尚書車爾格之女；二子：長子漢褚翰，次子考寶。}，第二子文顧{甲辰年七月二十七日辰時生，母繼妻哈達納喇氏，貝勒孟格布祿之女；丙午年卒，年三歲。}，第三子薩哈良{丙午年二月十三日丑時生，母繼妻哈達納喇氏，都統蘭圖之女。二子：長子色赫，次子色特禮。}，第四子薩標額{戊申年生，母妾姓氏未詳，卒年未詳。嫡妻姓氏未詳；繼妻納喇氏，安保住之女；三娶妻鈕祜祿氏，艾保之女。二子：長子穆禪，次子渥赫圖。}，第五子額弼綸{己酉年正月初一日亥時生，母繼妻哈達納喇氏，貝勒孟格布祿之女；天聰九年十二月賜死，年二十七歲。嫡妻姓氏，父名俱未詳。一子：勒德宜。}，第六子費揚古泰{庚戌年三月十八日子時生，母繼妻哈達納喇氏，貝勒孟格布祿之女；卒年未詳。嫡妻博爾濟吉特氏，巴拜之女。一子：桂新。 }，第七子薩哈納{甲寅年三月初三日辰時生，母妾姓氏、卒年未詳。嫡妻李佳氏，李楠之女。一子：伊德布。}， 
第八子阿克塔瑪{天命五年庚申生，母繼妻哈達納喇氏，貝勒孟格布祿之女；天命七年壬戌卒，年三歲。}，第九子舒松{天命八年癸亥十一月十三日午時生，母三繼妻姓氏、父名未詳。順治九年壬辰卒，年三十歲。}，
輔國愨厚公塔拜，太祖第六子。明萬曆十七年二月十八日戌時生，庶妃鈕祜祿氏出，初授游擊，天聰八年四月，授一等參將，封三等輔國將軍。崇德四年八月初九日申刻，卒。順治十五年，追封輔國公，諡曰愨厚。嫡妻烏蘇氏，岱蘇之女。子八人: 第一子喇拜{明萬曆三十三年五月二十一日子時生，母嫡妻烏蘇氏，岱蘇之女；天命五年八月初十日未時卒，年十五歲。]， 第二子內大臣額克親， 第三子巴克親{明萬曆四十年一月二十六日亥時生，母嫡妻烏蘇氏，岱蘇之女；崇德四年一月十八日亥時卒，年二十七歲。嫡妻烏蘇氏，男吉布哈達之女。 }，第四子已革輔國公巴穆布爾善，第五子蘇瓦延{天命四年三月二十四日亥時生，母嫡妻烏蘇氏，岱蘇之女；天命六年一月十二日卯時卒，年兩歲。 第六子奉恩輔國恪禧公拔都海，第七子奉恩懷義將軍喇都海， 第八子追封輔國悼殤將軍巴特瑪費揚武，
貝子額克親，塔拜第二子。明萬曆三十七年十一月初八日未時生，母嫡妻烏蘇氏，岱蘇之女；崇德四年，封奉國將軍。尋襲三等輔國將軍。順治元年，以功晉二等。四年，晉一等。尋封輔國公。六年，晉鎮國公。七年，晉貝子。八年，因罪革爵，黜宗室。尋復入宗室。順治十二年一月十七日申時卒，嫡妻納喇氏，奇禮之女；繼妻瓜爾佳氏，都統、伯石廷柱之女；三繼妻西魯特氏，尚書明安達里之女；四繼妻瓜爾佳氏，都統、伯石廷柱之女；妾郭氏，郭玉之女；妾吳氏，吳大之女；十一子：長子內大臣、輔國將軍額奇，次子散秩大臣、輔國將軍度爾霸，三子輔國將軍伯奇，四子己革輔國將軍伯爾赫宜，五子噶爾齊，六子額爾濟圖(黜宗室)，七子蘇爾齊，八子己勒輔國將軍伯赫，九子伯爾和，十子燕岱，十一子伯爾德宜。
三等輔國將軍額奇，額克親第一子。順治二年，封奉恩將軍。六年，晉輔國將軍。康熙二十一年，緣事革退。三十五年，仍封三等輔國將軍。尋卒。
三等輔國將軍度爾霸，額克親第二子。順治六年，封三等輔國將軍。康熙二十五年，卒。
三等奉國將軍巴甸紫，度爾霸第一子。康熙四年，封三等奉國將軍。二十三年，緣事革退。
三等奉國將軍噶爾圖，度爾霸第四子。康熙十八年，封三等奉國將軍。三十六年，緣事革退。
